127.0.0.1 - - [08/Oct/2016:00:22:47 +0800] "GET / HTTP/1.1" 404 1000
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:22:50 +0800] "GET /test2/ HTTP/1.1" 200 1688
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:23:01 +0800] "POST /test2/SearchBook.action HTTP/1.1" 200 2667
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:23:04 +0800] "GET /test2/BookDetail.action?id=How%20to%20Play%20Overwatch HTTP/1.1" 200 2085
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:23:07 +0800] "GET /test2/EditBook.action?id=How%20to%20Play%20Overwatch HTTP/1.1" 200 2899
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:23:16 +0800] "GET /test2/UpdateBook.action?isbn=ISBN-940198679001&title=How+to+Play+Overwatch&authorid=00000009&publisher=Black+Press&publishdate=2003%2F08%2F31&price=%2445.50 HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:24:27 +0800] "GET /test2/ HTTP/1.1" 200 1688
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:24:28 +0800] "GET /test2/addNewWhat HTTP/1.1" 200 1614
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:24:29 +0800] "GET /test2/updateBook HTTP/1.1" 200 2805
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:24:30 +0800] "GET /test2/searchResult HTTP/1.1" 200 1688
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:29:10 +0800] "POST /test2/SearchBook.action HTTP/1.1" 500 2724
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:29:26 +0800] "GET /test2/ HTTP/1.1" 200 1695
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:29:31 +0800] "POST /test2/SearchBook.action HTTP/1.1" 200 2674
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:29:33 +0800] "GET /test2/BookDetail.action?id=How%20to%20Play%20Overwatch HTTP/1.1" 200 2167
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:30:21 +0800] "GET /test2/BookDetail.action?id=How%20to%20Play%20Overwatch HTTP/1.1" 200 2200
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:30:21 +0800] "GET /test2/style/register-login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:30:21 +0800] "GET /test2/js/particles.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:30:21 +0800] "GET /test2/js/background.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:30:21 +0800] "GET /test2/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:30:21 +0800] "GET /test2/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:30:21 +0800] "GET /test2/js/layer/layer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:30:21 +0800] "GET /test2/style/register-login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:30:21 +0800] "GET /test2/images/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:30:21 +0800] "GET /test2/js/layer/skin/layer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:30:58 +0800] "GET /test2/BookDetail.action?id=How%20to%20Play%20Overwatch HTTP/1.1" 200 2202
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:30:58 +0800] "GET /test2/js/particles.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:30:58 +0800] "GET /test2/style/register-login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:30:58 +0800] "GET /test2/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:30:58 +0800] "GET /test2/js/background.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:30:58 +0800] "GET /test2/js/layer/layer.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:30:58 +0800] "GET /test2/js/index.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:30:58 +0800] "GET /test2/style/register-login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:30:58 +0800] "GET /test2/images/logo1.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:30:58 +0800] "GET /test2/js/layer/skin/layer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [08/Oct/2016:00:31:06 +0800] "GET /test2/EditBook.action?id=How%20to%20Play%20Overwatch HTTP/1.1" 200 2906
